game_id,season,week,gameday,home_team,away_team,home_score,away_score,home_win,winner_team,home_pregame_win_pct,home_pregame_points_for_pg,home_pregame_points_against_pg,home_pregame_point_diff_pg,home_days_rest,away_pregame_win_pct,away_pregame_points_for_pg,away_pregame_points_against_pg,away_pregame_point_diff_pg,away_days_rest,pregame_win_pct_diff,pregame_points_for_pg_diff,pregame_points_against_pg_diff,pregame_point_diff_pg_diff,days_rest_diff,target_home_win
2010_W02_PIT_at_TEN,2010,2,2010-09-19,TEN,PIT,11,19,0,PIT,1.0,38.0,13.0,25.0,7.0,1.0,15.0,9.0,6.0,7.0,0.0,23.0,4.0,19.0,0.0,0
2010_W02_SEA_at_DEN,2010,2,2010-09-19,DEN,SEA,31,14,1,DEN,0.0,17.0,24.0,-7.0,7.0,1.0,31.0,6.0,25.0,7.0,-1.0,-14.0,18.0,-32.0,0.0,1
2010_W02_STL_at_OAK,2010,2,2010-09-19,OAK,STL,16,14,1,OAK,0.0,13.0,38.0,-25.0,7.0,0.0,13.0,17.0,-4.0,7.0,0.0,0.0,21.0,-21.0,0.0,1
2010_W02_TB_at_CAR,2010,2,2010-09-19,CAR,TB,7,20,0,TB,0.0,18.0,31.0,-13.0,7.0,1.0,17.0,14.0,3.0,7.0,-1.0,1.0,17.0,-16.0,0.0,0
2010_W02_NO_at_SF,2010,2,2010-09-20,SF,NO,22,25,0,NO,0.0,6.0,31.0,-25.0,8.0,1.0,14.0,9.0,5.0,11.0,-1.0,-8.0,22.0,-30.0,-3.0,0
2010_W03_ATL_at_NO,2010,3,2010-09-26,NO,ATL,24,27,0,ATL,1.0,19.5,15.5,4.0,6.0,0.5,25.0,11.0,14.0,7.0,0.5,-5.5,4.5,-10.0,-1.0,0
2010_W03_BUF_at_NE,2010,3,2010-09-26,NE,BUF,38,30,1,NE,0.5,26.0,26.0,0.0,7.0,0.0,8.5,24.5,-16.0,7.0,0.5,17.5,1.5,16.0,0.0,1
2010_W03_CIN_at_CAR,2010,3,2010-09-26,CAR,CIN,7,20,0,CIN,0.0,12.5,25.5,-13.0,7.0,0.5,19.5,24.0,-4.5,7.0,-0.5,-7.0,1.5,-8.5,0.0,0
2010_W03_CLE_at_BAL,2010,3,2010-09-26,BAL,CLE,24,17,1,BAL,0.5,10.0,12.0,-2.0,7.0,0.0,14.0,16.5,-2.5,7.0,0.5,-4.0,-4.5,0.5,0.0,1
2010_W03_DAL_at_HOU,2010,3,2010-09-26,HOU,DAL,13,27,0,DAL,1.0,32.0,25.5,6.5,7.0,0.0,13.5,20.0,-6.5,7.0,1.0,18.5,5.5,13.0,0.0,0
2010_W03_DET_at_MIN,2010,3,2010-09-26,MIN,DET,24,10,1,MIN,0.0,9.5,14.0,-4.5,7.0,0.0,23.0,27.0,-4.0,7.0,0.0,-13.5,-13.0,-0.5,0.0,1
2010_W03_IND_at_DEN,2010,3,2010-09-26,DEN,IND,13,27,0,IND,0.5,24.0,19.0,5.0,7.0,0.5,31.0,24.0,7.0,7.0,0.0,-7.0,-5.0,-2.0,0.0,0
2010_W03_NYJ_at_MIA,2010,3,2010-09-26,MIA,NYJ,23,31,0,NYJ,1.0,14.5,10.0,4.5,7.0,0.5,18.5,12.0,6.5,7.0,0.5,-4.0,-2.0,-2.0,0.0,0
2010_W03_OAK_at_ARI,2010,3,2010-09-26,ARI,OAK,24,23,1,ARI,0.5,12.0,27.0,-15.0,7.0,0.5,14.5,26.0,-11.5,7.0,0.0,-2.5,1.0,-3.5,0.0,1
2010_W03_PHI_at_JAX,2010,3,2010-09-26,JAX,PHI,3,28,0,PHI,0.5,18.5,27.5,-9.0,7.0,0.5,27.5,29.5,-2.0,7.0,0.0,-9.0,-2.0,-7.0,0.0,0
2010_W03_PIT_at_TB,2010,3,2010-09-26,TB,PIT,13,38,0,PIT,1.0,18.5,10.5,8.0,7.0,1.0,17.0,10.0,7.0,7.0,0.0,1.5,0.5,1.0,0.0,0
2010_W03_SD_at_SEA,2010,3,2010-09-26,SEA,SD,27,20,1,SEA,0.5,22.5,18.5,4.0,7.0,0.5,26.0,17.0,9.0,7.0,0.0,-3.5,1.5,-5.0,0.0,1
2010_W03_SF_at_KC,2010,3,2010-09-26,KC,SF,31,10,1,KC,1.0,18.5,14.0,4.5,7.0,0.0,14.0,28.0,-14.0,6.0,1.0,4.5,-14.0,18.5,1.0,1
2010_W03_TEN_at_NYG,2010,3,2010-09-26,NYG,TEN,10,29,0,TEN,0.5,22.5,28.0,-5.5,7.0,0.5,24.5,16.0,8.5,7.0,0.0,-2.0,12.0,-14.0,0.0,0
2010_W03_WAS_at_STL,2010,3,2010-09-26,STL,WAS,30,16,1,STL,0.0,13.5,16.5,-3.0,7.0,0.5,20.0,18.5,1.5,7.0,-0.5,-6.5,-2.0,-4.5,0.0,1
2010_W03_GB_at_CHI,2010,3,2010-09-27,CHI,GB,20,17,1,CHI,1.0,23.0,17.0,6.0,8.0,1.0,30.5,13.5,17.0,8.0,0.0,-7.5,3.5,-11.0,0.0,1
